??id,kc0,kc1,kc2,kc3,kc4,kc5,kc6,kc7,kc8,kc9,kc10,kc11,kc12,kc13,kc14,kc15,kc16,kc17,kc18,kc19,kc20,kc21,kc22,kc23,kc24,kc25,kc26,kc27,kc28,kc29,kc30,kc31,kc32,kc33,kc34,kc35,kc36,kc37,kc38,kc39,kc40,kc41,kc42,kc43,kc44,kc45,kc46,kc47,kc48,kc49,kc50,kc51,kc52,kc53,kc54,kc55,kc56
uid13,0.000000,0.000000,0.305136,0.000000,0.000000,0.000000,0.291694,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.220482,0.000000,0.000000,0.000000,0.277992,0.380597,0.000000,0.108598,0.000000,0.000000,0.174363,0.000000,0.000000,0.190031,0.037595,0.142110,0.158391,0.415196,0.000000,0.055859,0.000000,0.000000,0.000000,0.073777,0.000000,0.091354,0.392352,0.000000,0.000000,0.000000,0.000000,0.235276,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
uid14,0.670862,0.927554,0.055859,0.593641,0.507824,0.343951,0.073777,0.784069,0.800000,0.000000,0.771294,0.305136,0.000000,0.392352,0.356401,0.000000,0.931601,0.437182,0.601353,0.517164,0.037595,0.220482,0.000000,0.000000,0.910557,0.000000,0.644645,0.277992,0.000000,0.458341,0.000000,0.468621,0.000000,0.235276,0.535317,0.018978,0.000000,0.403884,0.796131,0.142110,0.863665,0.125515,0.174363,0.264025,0.426295,0.000000,0.712174,0.249788,0.807519,0.000000,0.577767,0.000000,0.331260,0.623621,0.000000,0.000000,0.895741
uid15,0.277992,0.468621,0.055859,0.000000,0.018978,0.000000,0.205403,0.569599,0.593641,0.771294,0.108598,0.000000,0.000000,0.664495,0.249788,0.174363,0.331260,0.000000,0.125515,0.142110,0.000000,0.000000,0.000000,0.000000,0.426295,0.000000,0.517164,0.073777,0.291694,0.000000,0.091354,0.264025,0.220482,0.037595,0.437182,0.000000,0.000000,0.356401,0.000000,0.447863,0.000000,0.498303,0.585780,0.190031,0.738468,0.000000,0.343951,0.478705,0.000000,0.488598,0.392352,0.000000,0.616340,0.000000,0.000000,0.000000,0.000000
uid16,0.000000,0.000000,0.000000,0.158391,0.000000,0.249788,0.000000,0.000000,0.000000,0.000000,0.000000,0.277992,0.000000,0.000000,0.291694,0.000000,0.000000,0.000000,0.055859,0.108598,0.000000,0.018978,0.000000,0.000000,0.000000,0.000000,0.000000,0.205403,0.000000,0.000000,0.392352,0.000000,0.368615,0.235276,0.125515,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.343951,0.190031,0.000000,0.000000,0.000000,0.356401,0.000000,0.000000,0.091354,0.073777,0.264025,0.000000,0.000000,0.000000,0.000000
uid17,0.000000,0.000000,0.000000,0.331260,0.601353,0.000000,0.018978,0.426295,0.000000,0.623621,0.000000,0.037595,0.277992,0.073777,0.000000,0.000000,0.630764,0.458341,0.000000,0.055859,0.368615,0.000000,0.000000,0.000000,0.305136,0.000000,0.291694,0.264025,0.000000,0.235276,0.356401,0.437182,0.205403,0.249788,0.318323,0.000000,0.000000,0.000000,0.000000,0.608918,0.000000,0.158391,0.000000,0.091354,0.000000,0.000000,0.000000,0.392352,0.000000,0.488598,0.000000,0.174363,0.544135,0.142110,0.000000,0.585780,0.000000
uid18,0.073777,0.821720,0.498303,0.728252,0.552786,0.733409,0.205403,0.637771,0.695145,0.623621,0.142110,0.000000,0.910557,0.305136,0.403884,0.526327,0.018978,0.000000,0.220482,0.847055,0.426295,0.000000,0.000000,0.000000,0.174363,0.000000,0.331260,0.235276,0.000000,0.841081,0.437182,0.277992,0.000000,0.468621,0.108598,0.507824,0.000000,0.037595,0.891668,0.190031,0.878470,0.249788,0.415196,0.488598,0.577767,0.000000,0.055859,0.926153,0.664495,0.000000,0.125515,0.000000,0.569599,0.000000,0.392352,0.644645,0.000000
uid19,0.264025,0.000000,0.174363,0.517164,0.055859,0.949660,0.000000,0.623621,0.356401,0.000000,0.561273,0.458341,0.000000,0.585780,0.000000,0.738468,0.000000,0.368615,0.630764,0.037595,0.811172,0.932899,0.695145,0.779892,0.762360,0.000000,0.190031,0.637771,0.000000,0.775634,0.838006,0.380597,0.426295,0.220482,0.091354,0.073777,0.000000,0.018978,0.616340,0.677108,0.722995,0.158391,0.142110,0.291694,0.249788,0.792187,0.343951,0.318323,0.488598,0.000000,0.000000,0.000000,0.108598,0.447863,0.000000,0.712174,0.923268
uid20,0.585780,0.695145,0.000000,0.318323,0.722995,0.526327,0.018978,0.403884,0.000000,0.818271,0.437182,0.037595,0.305136,0.073777,0.608918,0.000000,0.834873,0.000000,0.784069,0.055859,0.392352,0.000000,0.000000,0.000000,0.291694,0.000000,0.277992,0.264025,0.000000,0.220482,0.343951,0.458341,0.190031,0.249788,0.331260,0.664495,0.000000,0.000000,0.507824,0.000000,0.447863,0.158391,0.757763,0.091354,0.677108,0.000000,0.796131,0.368615,0.569599,0.700930,0.616340,0.174363,0.535317,0.142110,0.000000,0.000000,0.000000
uid21,0.593641,0.517164,0.000000,0.249788,0.018978,0.264025,0.073777,0.205403,0.235276,0.190031,0.000000,0.000000,0.000000,0.403884,0.507824,0.000000,0.437182,0.000000,0.277992,0.426295,0.000000,0.000000,0.000000,0.000000,0.108598,0.000000,0.000000,0.305136,0.000000,0.447863,0.000000,0.158391,0.526327,0.318323,0.220482,0.585780,0.000000,0.368615,0.535317,0.000000,0.000000,0.000000,0.000000,0.142110,0.125515,0.000000,0.055859,0.577767,0.000000,0.000000,0.616340,0.000000,0.091354,0.000000,0.000000,0.000000,0.000000
uid22,0.000000,0.000000,0.018978,0.000000,0.000000,0.331260,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.125515,0.000000,0.000000,0.000000,0.000000,0.000000,0.091354,0.108598,0.000000,0.000000,0.000000,0.000000,0.000000,0.264025,0.000000,0.000000,0.000000,0.000000,0.205403,0.305136,0.000000,0.037595,0.000000,0.000000,0.000000,0.055859,0.000000,0.000000,0.158391,0.235276,0.000000,0.000000,0.000000,0.190031,0.000000,0.000000,0.000000,0.000000,0.142110,0.000000,0.000000,0.000000,0.000000
uid23,0.458341,0.717636,0.488598,0.585780,0.190031,0.507824,0.142110,0.468621,0.561273,0.000000,0.544135,0.392352,0.000000,0.073777,0.700930,0.000000,0.658005,0.291694,0.018978,0.174363,0.000000,0.818271,0.478705,0.000000,0.712174,0.000000,0.807519,0.415196,0.000000,0.664495,0.844096,0.055859,0.091354,0.426295,0.220482,0.205403,0.000000,0.158391,0.757763,0.437182,0.728252,0.125515,0.037595,0.796131,0.000000,0.000000,0.368615,0.831678,0.788167,0.000000,0.000000,0.000000,0.000000,0.380597,0.000000,0.000000,0.792187
uid24,0.000000,0.000000,0.000000,0.018978,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.055859,0.000000,0.091354,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.108598,0.205403,0.235276,0.000000,0.000000,0.142110,0.190031,0.000000,0.000000,0.000000,0.000000,0.000000,0.220482,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.174363,0.073777,0.000000,0.000000,0.000000,0.000000,0.000000
uid25,0.738468,0.000000,0.000000,0.091354,0.664495,0.000000,0.142110,0.174363,0.000000,0.000000,0.190031,0.000000,0.000000,0.616340,0.291694,0.000000,0.593641,0.000000,0.108598,0.658005,0.220482,0.000000,0.743431,0.517164,0.468621,0.426295,0.037595,0.356401,0.000000,0.264025,0.498303,0.552786,0.055859,0.706606,0.277992,0.018978,0.478705,0.651389,0.205403,0.544135,0.000000,0.235276,0.695145,0.000000,0.073777,0.000000,0.447863,0.601353,0.748300,0.000000,0.318323,0.125515,0.392352,0.415196,0.000000,0.000000,0.000000
uid26,0.488598,0.000000,0.000000,0.108598,0.517164,0.380597,0.458341,0.235276,0.535317,0.000000,0.249788,0.630764,0.018978,0.220482,0.000000,0.753077,0.000000,0.000000,0.000000,0.623621,0.142110,0.000000,0.000000,0.000000,0.073777,0.000000,0.055859,0.037595,0.000000,0.803796,0.158391,0.277992,0.174363,0.000000,0.091354,0.677108,0.706606,0.585780,0.343951,0.593641,0.264025,0.125515,0.000000,0.437182,0.552786,0.000000,0.507824,0.190031,0.426295,0.000000,0.000000,0.526327,0.368615,0.577767,0.000000,0.000000,0.000000
uid27,0.535317,0.055859,0.488598,0.343951,0.073777,0.000000,0.220482,0.264025,0.125515,0.000000,0.249788,0.000000,0.706606,0.415196,0.447863,0.000000,0.670862,0.637771,0.403884,0.468621,0.738468,0.000000,0.000000,0.000000,0.712174,0.000000,0.190031,0.142110,0.000000,0.291694,0.368615,0.108598,0.753077,0.561273,0.235276,0.277992,0.000000,0.000000,0.000000,0.658005,0.000000,0.000000,0.174363,0.205403,0.517164,0.000000,0.601353,0.018978,0.000000,0.037595,0.000000,0.000000,0.158391,0.000000,0.000000,0.392352,0.000000
uid28,0.000000,0.000000,0.000000,0.552786,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.235276,0.000000,0.415196,0.544135,0.000000,0.458341,0.220482,0.535317,0.000000,0.305136,0.174363,0.125515,0.190031,0.055859,0.000000,0.291694,0.277992,0.356401,0.018978,0.437182,0.158391,0.264025,0.142110,0.000000,0.000000,0.380597,0.000000,0.343951,0.000000,0.000000,0.000000,0.000000,0.108598,0.331260,0.000000,0.000000,0.426295,0.498303,0.037595,0.091354,0.000000,0.000000,0.000000
uid29,0.305136,0.488598,0.277992,0.561273,0.852805,0.142110,0.264025,0.220482,0.683236,0.908827,0.000000,0.677108,0.757763,0.706606,0.585780,0.917156,0.535317,0.437182,0.458341,0.630764,0.800000,0.000000,0.000000,0.000000,0.771294,0.000000,0.517164,0.091354,0.000000,0.403884,0.788167,0.018978,0.108598,0.762360,0.190031,0.368615,0.000000,0.552786,0.125515,0.478705,0.037595,0.055859,0.577767,0.447863,0.526327,0.000000,0.937849,0.426295,0.235276,0.866252,0.000000,0.291694,0.174363,0.733409,0.946682,0.664495,0.000000
uid30,0.616340,0.000000,0.000000,0.000000,0.577767,0.569599,0.000000,0.426295,0.728252,0.000000,0.712174,0.779892,0.368615,0.437182,0.073777,0.670862,0.000000,0.766870,0.000000,0.125515,0.277992,0.000000,0.000000,0.000000,0.264025,0.000000,0.305136,0.356401,0.000000,0.000000,0.392352,0.220482,0.458341,0.331260,0.235276,0.488598,0.644645,0.158391,0.000000,0.403884,0.468621,0.055859,0.037595,0.091354,0.517164,0.000000,0.000000,0.447863,0.000000,0.000000,0.000000,0.000000,0.291694,0.000000,0.000000,0.343951,0.000000
uid31,0.753077,0.458341,0.392352,0.073777,0.517164,0.928929,0.018978,0.108598,0.585780,0.880777,0.544135,0.910557,0.000000,0.142110,0.277992,0.437182,0.807519,0.000000,0.249788,0.174363,0.343951,0.000000,0.000000,0.000000,0.878470,0.000000,0.498303,0.205403,0.000000,0.000000,0.235276,0.507824,0.368615,0.380597,0.055859,0.091354,0.000000,0.792187,0.915553,0.748300,0.000000,0.264025,0.220482,0.037595,0.871280,0.000000,0.757763,0.190031,0.712174,0.488598,0.788167,0.000000,0.125515,0.000000,0.291694,0.158391,0.000000
uid32,0.000000,0.000000,0.544135,0.220482,0.305136,0.000000,0.264025,0.000000,0.091354,0.000000,0.392352,0.623621,0.000000,0.498303,0.458341,0.205403,0.000000,0.108598,0.000000,0.073777,0.488598,0.000000,0.000000,0.000000,0.415196,0.000000,0.277992,0.000000,0.000000,0.037595,0.468621,0.142110,0.000000,0.249788,0.018978,0.552786,0.000000,0.000000,0.000000,0.426295,0.000000,0.174363,0.343951,0.291694,0.000000,0.000000,0.000000,0.158391,0.000000,0.000000,0.235276,0.000000,0.318323,0.000000,0.447863,0.000000,0.000000
uid33,0.055859,0.437182,0.488598,0.220482,0.318323,0.616340,0.630764,0.712174,0.608918,0.000000,0.784069,0.000000,0.000000,0.356401,0.738468,0.000000,0.717636,0.174363,0.000000,0.277992,0.000000,0.000000,0.000000,0.000000,0.753077,0.000000,0.498303,0.018978,0.000000,0.264025,0.762360,0.205403,0.748300,0.190031,0.108598,0.403884,0.000000,0.037595,0.000000,0.091354,0.775634,0.447863,0.569599,0.468621,0.125515,0.000000,0.585780,0.593641,0.796131,0.000000,0.142110,0.000000,0.700930,0.291694,0.000000,0.331260,0.000000
uid34,0.343951,0.905265,0.821720,0.000000,0.623621,0.000000,0.852805,0.920271,0.291694,0.552786,0.403884,0.651389,0.000000,0.426295,0.091354,0.478705,0.616340,0.569599,0.844096,0.142110,0.593641,0.000000,0.000000,0.000000,0.458341,0.000000,0.415196,0.825103,0.871280,0.814755,0.831678,0.205403,0.468621,0.535317,0.601353,0.331260,0.380597,0.073777,0.000000,0.220482,0.000000,0.174363,0.108598,0.055859,0.811172,0.895741,0.683236,0.907063,0.000000,0.903433,0.775634,0.000000,0.190031,0.706606,0.000000,0.264025,0.000000
uid35,0.331260,0.800000,0.000000,0.205403,0.775634,0.000000,0.235276,0.825103,0.108598,0.000000,0.447863,0.415196,0.000000,0.683236,0.380597,0.190031,0.000000,0.073777,0.852805,0.018978,0.535317,0.000000,0.000000,0.000000,0.712174,0.000000,0.264025,0.762360,0.000000,0.000000,0.855598,0.142110,0.468621,0.220482,0.037595,0.426295,0.561273,0.601353,0.000000,0.792187,0.000000,0.174363,0.814755,0.277992,0.458341,0.753077,0.507824,0.125515,0.000000,0.000000,0.249788,0.000000,0.318323,0.356401,0.000000,0.834873,0.000000
uid36,0.205403,0.000000,0.000000,0.392352,0.125515,0.000000,0.000000,0.447863,0.073777,0.000000,0.055859,0.000000,0.343951,0.468621,0.000000,0.821720,0.000000,0.535317,0.577767,0.677108,0.478705,0.569599,0.000000,0.807519,0.403884,0.000000,0.356401,0.018978,0.000000,0.695145,0.415196,0.264025,0.437182,0.142110,0.368615,0.733409,0.000000,0.277992,0.891668,0.091354,0.910557,0.380597,0.585780,0.037595,0.108598,0.644645,0.174363,0.426295,0.630764,0.608918,0.670862,0.190031,0.771294,0.158391,0.000000,0.913920,0.498303
uid37,0.561273,0.935422,0.000000,0.415196,0.142110,0.343951,0.091354,0.577767,0.664495,0.000000,0.593641,0.291694,0.000000,0.018978,0.331260,0.733409,0.937849,0.437182,0.670862,0.125515,0.803796,0.356401,0.585780,0.775634,0.762360,0.000000,0.939029,0.264025,0.000000,0.771294,0.831678,0.000000,0.037595,0.305136,0.158391,0.174363,0.000000,0.108598,0.644645,0.569599,0.712174,0.073777,0.220482,0.249788,0.616340,0.788167,0.498303,0.738468,0.380597,0.000000,0.000000,0.000000,0.055859,0.507824,0.000000,0.722995,0.943527
uid38,0.291694,0.000000,0.205403,0.403884,0.392352,0.000000,0.544135,0.526327,0.517164,0.000000,0.415196,0.142110,0.000000,0.468621,0.000000,0.683236,0.000000,0.000000,0.507824,0.000000,0.000000,0.844096,0.608918,0.000000,0.712174,0.000000,0.220482,0.535317,0.000000,0.000000,0.000000,0.018978,0.091354,0.158391,0.305136,0.264025,0.000000,0.728252,0.488598,0.585780,0.664495,0.623621,0.331260,0.318323,0.277992,0.000000,0.108598,0.356401,0.174363,0.000000,0.000000,0.000000,0.073777,0.125515,0.000000,0.658005,0.821720
uid39,0.264025,0.695145,0.000000,0.380597,0.623621,0.392352,0.498303,0.205403,0.796131,0.887436,0.000000,0.818271,0.000000,0.190031,0.000000,0.331260,0.608918,0.889573,0.517164,0.866252,0.125515,0.000000,0.000000,0.000000,0.277992,0.000000,0.343951,0.055859,0.000000,0.706606,0.091354,0.249788,0.158391,0.468621,0.073777,0.683236,0.847055,0.561273,0.000000,0.018978,0.000000,0.108598,0.235276,0.037595,0.000000,0.000000,0.535317,0.142110,0.000000,0.000000,0.478705,0.000000,0.743431,0.844096,0.733409,0.220482,0.000000
uid40,0.437182,0.426295,0.899661,0.220482,0.863665,0.664495,0.055859,0.658005,0.526327,0.000000,0.091354,0.488598,0.000000,0.517164,0.000000,0.125515,0.392352,0.249788,0.235276,0.468621,0.913920,0.000000,0.000000,0.000000,0.174363,0.000000,0.447863,0.380597,0.000000,0.368615,0.897720,0.305136,0.018978,0.000000,0.108598,0.889573,0.000000,0.831678,0.651389,0.318323,0.073777,0.291694,0.158391,0.277992,0.403884,0.000000,0.205403,0.142110,0.623621,0.912255,0.775634,0.585780,0.683236,0.561273,0.000000,0.037595,0.000000
uid41,0.651389,0.264025,0.784069,0.569599,0.277992,0.000000,0.190031,0.018978,0.158391,0.891668,0.000000,0.811172,0.000000,0.037595,0.000000,0.535317,0.733409,0.838006,0.205403,0.000000,0.000000,0.000000,0.000000,0.000000,0.544135,0.000000,0.318323,0.220482,0.000000,0.800000,0.788167,0.174363,0.468621,0.517164,0.073777,0.664495,0.000000,0.630764,0.108598,0.000000,0.526327,0.249788,0.415196,0.235276,0.091354,0.855598,0.577767,0.331260,0.142110,0.305136,0.601353,0.000000,0.125515,0.000000,0.000000,0.478705,0.000000
uid42,0.712174,0.858339,0.055859,0.331260,0.468621,0.000000,0.073777,0.803796,0.608918,0.498303,0.695145,0.569599,0.000000,0.415196,0.728252,0.552786,0.526327,0.277992,0.380597,0.403884,0.037595,0.220482,0.000000,0.000000,0.897720,0.000000,0.544135,0.305136,0.000000,0.343951,0.585780,0.368615,0.000000,0.235276,0.517164,0.018978,0.000000,0.561273,0.000000,0.142110,0.000000,0.125515,0.174363,0.488598,0.291694,0.677108,0.880777,0.249788,0.000000,0.928929,0.264025,0.000000,0.717636,0.392352,0.903433,0.447863,0.000000
uid43,0.608918,0.000000,0.000000,0.544135,0.722995,0.000000,0.318323,0.073777,0.142110,0.000000,0.249788,0.677108,0.000000,0.305136,0.000000,0.498303,0.000000,0.637771,0.277992,0.000000,0.091354,0.852805,0.616340,0.700930,0.552786,0.000000,0.841081,0.018978,0.000000,0.689247,0.291694,0.000000,0.403884,0.158391,0.343951,0.683236,0.000000,0.762360,0.437182,0.585780,0.488598,0.814755,0.517164,0.190031,0.037595,0.205403,0.526327,0.055859,0.468621,0.000000,0.000000,0.895741,0.220482,0.670862,0.000000,0.356401,0.838006
uid44,0.670862,0.677108,0.738468,0.753077,0.356401,0.000000,0.305136,0.478705,0.601353,0.291694,0.331260,0.766870,0.000000,0.000000,0.000000,0.000000,0.018978,0.000000,0.174363,0.000000,0.000000,0.000000,0.000000,0.000000,0.277992,0.000000,0.037595,0.091354,0.000000,0.318323,0.748300,0.073777,0.552786,0.585780,0.220482,0.235276,0.000000,0.108598,0.000000,0.695145,0.000000,0.125515,0.343951,0.488598,0.403884,0.000000,0.055859,0.000000,0.498303,0.000000,0.205403,0.000000,0.249788,0.000000,0.392352,0.526327,0.000000
uid45,0.291694,0.000000,0.000000,0.526327,0.158391,0.403884,0.055859,0.552786,0.205403,0.000000,0.142110,0.368615,0.468621,0.544135,0.392352,0.866252,0.000000,0.577767,0.811172,0.722995,0.507824,0.426295,0.841081,0.934172,0.498303,0.000000,0.447863,0.037595,0.000000,0.935422,0.478705,0.091354,0.488598,0.249788,0.535317,0.644645,0.000000,0.235276,0.771294,0.018978,0.852805,0.517164,0.757763,0.000000,0.305136,0.880777,0.125515,0.569599,0.658005,0.000000,0.000000,0.277992,0.380597,0.073777,0.000000,0.855598,0.960000
