学生id,uid,总交互次数,去重习题数,去重知识点数,重复做题次数,重复做过的习题数,答对次数,答错次数,答对率,习题覆盖率,知识点覆盖率
uid134,134,104,103,40,1,1,77,27,0.740385,0.108650,0.701754
uid135,135,93,92,38,1,1,28,65,0.301075,0.097046,0.666667
uid136,136,49,49,27,0,0,27,22,0.551020,0.051688,0.473684
uid137,137,146,140,47,6,6,37,109,0.253425,0.147679,0.824561
uid138,138,51,51,32,0,0,35,16,0.686275,0.053797,0.561404
uid139,139,159,158,47,1,1,132,27,0.830189,0.166667,0.824561
uid140,140,143,142,45,1,1,122,21,0.853147,0.149789,0.789474
uid141,141,118,117,44,1,1,57,61,0.483051,0.123418,0.771930
uid142,142,68,68,33,0,0,54,14,0.794118,0.071730,0.578947
uid143,143,141,139,46,2,2,74,67,0.524823,0.146624,0.807018
uid144,144,147,146,44,1,1,142,5,0.965986,0.154008,0.771930
uid145,145,132,132,42,0,0,58,74,0.439394,0.139241,0.736842
uid146,146,94,93,37,1,1,73,21,0.776596,0.098101,0.649123
uid147,147,179,177,52,2,2,114,65,0.636872,0.186709,0.912281
uid148,148,53,53,27,0,0,28,25,0.528302,0.055907,0.473684
uid149,149,159,158,47,1,1,118,41,0.742138,0.166667,0.824561
uid150,150,184,183,48,1,1,143,41,0.777174,0.193038,0.842105
uid151,151,187,187,48,0,0,82,105,0.438503,0.197257,0.842105
uid152,152,84,83,36,1,1,32,52,0.380952,0.087553,0.631579
uid153,153,154,152,43,2,2,64,90,0.415584,0.160338,0.754386
uid154,154,136,136,44,0,0,60,76,0.441176,0.143460,0.771930
uid155,155,130,129,42,1,1,91,39,0.700000,0.136076,0.736842
uid156,156,60,60,34,0,0,32,28,0.533333,0.063291,0.596491
uid157,157,110,108,41,2,2,58,52,0.527273,0.113924,0.719298
uid158,158,132,132,44,0,0,39,93,0.295455,0.139241,0.771930
uid159,159,132,131,44,1,1,54,78,0.409091,0.138186,0.771930
uid160,160,31,31,21,0,0,7,24,0.225806,0.032700,0.368421
uid161,161,83,83,37,0,0,67,16,0.807229,0.087553,0.649123
uid162,162,144,144,47,0,0,69,75,0.479167,0.151899,0.824561
uid163,163,127,126,44,1,1,102,25,0.803150,0.132911,0.771930
uid164,164,43,40,28,3,3,21,22,0.488372,0.042194,0.491228
uid165,165,181,177,50,4,4,73,108,0.403315,0.186709,0.877193
uid166,166,15,12,11,3,3,10,5,0.666667,0.012658,0.192982
uid167,167,34,31,22,3,3,9,25,0.264706,0.032700,0.385965
uid168,168,70,70,37,0,0,56,14,0.800000,0.073840,0.649123
uid169,169,69,67,32,2,2,36,33,0.521739,0.070675,0.561404
uid170,170,71,68,32,3,3,34,37,0.478873,0.071730,0.561404
uid171,171,104,100,44,4,4,35,69,0.336538,0.105485,0.771930
uid172,172,96,96,43,0,0,14,82,0.145833,0.101266,0.754386
uid173,173,188,188,46,0,0,77,111,0.409574,0.198312,0.807018
uid174,174,61,59,31,2,2,31,30,0.508197,0.062236,0.543860
uid175,175,182,179,47,3,3,110,72,0.604396,0.188819,0.824561
uid176,176,121,120,41,1,1,88,33,0.727273,0.126582,0.719298
uid177,177,126,122,45,4,4,65,61,0.515873,0.128692,0.789474
uid178,178,73,73,37,0,0,53,20,0.726027,0.077004,0.649123
uid179,179,134,132,48,2,2,31,103,0.231343,0.139241,0.842105
uid180,180,163,160,49,3,3,98,65,0.601227,0.168776,0.859649
uid181,181,140,140,46,0,0,36,104,0.257143,0.147679,0.807018
uid182,182,60,60,31,0,0,39,21,0.650000,0.063291,0.543860
uid183,183,81,80,37,1,1,32,49,0.395062,0.084388,0.649123
uid184,184,70,69,35,1,1,36,34,0.514286,0.072785,0.614035
uid185,185,14,12,10,2,2,7,7,0.500000,0.012658,0.175439
uid186,186,116,115,47,1,1,52,64,0.448276,0.121308,0.824561
uid187,187,118,118,42,0,0,97,21,0.822034,0.124473,0.736842
uid188,188,13,13,10,0,0,5,8,0.384615,0.013713,0.175439
uid189,189,132,130,42,2,2,90,42,0.681818,0.137131,0.736842
uid190,190,58,58,33,0,0,46,12,0.793103,0.061181,0.578947
uid191,191,38,38,24,0,0,8,30,0.210526,0.040084,0.421053
uid192,192,193,191,46,2,2,126,67,0.652850,0.201477,0.807018
uid193,193,148,146,45,2,2,54,94,0.364865,0.154008,0.789474
uid194,194,181,179,47,2,2,99,82,0.546961,0.188819,0.824561
uid195,195,193,192,50,1,1,63,130,0.326425,0.202532,0.877193
uid196,196,154,152,42,2,2,115,39,0.746753,0.160338,0.736842
uid197,197,42,41,26,1,1,16,26,0.380952,0.043249,0.456140
uid198,198,142,140,42,2,2,89,53,0.626761,0.147679,0.736842
uid199,199,113,112,44,1,1,61,52,0.539823,0.118143,0.771930
uid200,200,64,64,32,0,0,30,34,0.468750,0.067511,0.561404
uid201,201,54,50,30,4,4,21,33,0.388889,0.052743,0.526316
uid202,202,69,68,33,1,1,37,32,0.536232,0.071730,0.578947
uid203,203,97,93,41,4,4,37,60,0.381443,0.098101,0.719298
uid204,204,94,92,39,2,2,22,72,0.234043,0.097046,0.684211
uid205,205,77,77,33,0,0,58,19,0.753247,0.081224,0.578947
uid206,206,109,108,42,1,1,35,74,0.321101,0.113924,0.736842
uid207,207,70,69,35,1,1,33,37,0.471429,0.072785,0.614035
uid208,208,69,68,34,1,1,57,12,0.826087,0.071730,0.596491
uid209,209,177,176,48,1,1,127,50,0.717514,0.185654,0.842105
uid210,210,120,118,47,2,2,89,31,0.741667,0.124473,0.824561
uid211,211,155,153,48,2,2,75,80,0.483871,0.161392,0.842105
uid212,212,110,109,41,1,1,61,49,0.554545,0.114979,0.719298
uid213,213,74,73,36,1,1,36,38,0.486486,0.077004,0.631579
uid214,214,181,180,47,1,1,81,100,0.447514,0.189873,0.824561
uid215,215,186,184,46,2,2,94,92,0.505376,0.194093,0.807018
uid216,216,121,119,42,2,2,56,65,0.462810,0.125527,0.736842
uid217,217,88,85,36,3,3,19,69,0.215909,0.089662,0.631579
uid218,218,96,96,39,0,0,69,27,0.718750,0.101266,0.684211
uid219,219,148,147,44,1,1,58,90,0.391892,0.155063,0.771930
uid220,220,185,180,46,5,5,78,107,0.421622,0.189873,0.807018
uid221,221,96,96,40,0,0,86,10,0.895833,0.101266,0.701754
uid222,222,24,24,17,0,0,23,1,0.958333,0.025316,0.298246
uid223,223,147,146,41,1,1,103,44,0.700680,0.154008,0.719298
uid224,224,93,93,40,0,0,35,58,0.376344,0.098101,0.701754
uid225,225,61,60,34,1,1,36,25,0.590164,0.063291,0.596491
uid226,226,54,53,31,1,1,40,14,0.740741,0.055907,0.543860
uid227,227,91,90,33,1,1,27,64,0.296703,0.094937,0.578947
uid228,228,131,130,43,1,1,49,82,0.374046,0.137131,0.754386
uid229,229,68,67,32,1,1,32,36,0.470588,0.070675,0.561404
uid230,230,51,50,30,1,1,28,23,0.549020,0.052743,0.526316
uid231,231,125,124,43,1,1,71,54,0.568000,0.130802,0.754386
uid232,232,163,161,47,2,2,83,80,0.509202,0.169831,0.824561
uid233,233,167,165,47,2,2,66,101,0.395210,0.174051,0.824561
uid234,234,189,187,48,2,2,104,85,0.550265,0.197257,0.842105
uid235,235,69,68,34,1,1,45,24,0.652174,0.071730,0.596491
uid236,236,102,102,39,0,0,67,35,0.656863,0.107595,0.684211
uid237,237,137,136,41,1,1,98,39,0.715328,0.143460,0.719298
uid238,238,61,60,34,1,1,47,14,0.770492,0.063291,0.596491
uid239,239,72,72,39,0,0,45,27,0.625000,0.075949,0.684211
uid240,240,122,121,44,1,1,41,81,0.336066,0.127637,0.771930
uid241,241,77,73,36,4,4,28,49,0.363636,0.077004,0.631579
uid242,242,156,154,43,2,2,57,99,0.365385,0.162447,0.754386
uid243,243,125,124,44,1,1,59,66,0.472000,0.130802,0.771930
uid244,244,98,98,45,0,0,37,61,0.377551,0.103376,0.789474
uid245,245,58,58,33,0,0,38,20,0.655172,0.061181,0.578947
uid246,246,125,121,43,4,4,106,19,0.848000,0.127637,0.754386
uid247,247,146,139,47,7,7,86,60,0.589041,0.146624,0.824561
uid248,248,174,173,45,1,1,75,99,0.431034,0.182489,0.789474
uid249,249,166,162,51,4,4,53,113,0.319277,0.170886,0.894737
uid250,250,65,63,37,2,2,27,38,0.415385,0.066456,0.649123
uid251,251,51,51,28,0,0,29,22,0.568627,0.053797,0.491228
uid252,252,93,93,41,0,0,73,20,0.784946,0.098101,0.719298
uid253,253,142,141,39,1,1,60,82,0.422535,0.148734,0.684211
uid254,254,46,46,32,0,0,34,12,0.739130,0.048523,0.561404
uid255,255,64,63,35,1,1,29,35,0.453125,0.066456,0.614035
uid256,256,175,172,47,3,3,105,70,0.600000,0.181435,0.824561
uid257,257,166,164,44,2,2,42,124,0.253012,0.172996,0.771930
uid258,258,185,184,46,1,1,99,86,0.535135,0.194093,0.807018
uid259,259,133,130,42,3,3,55,78,0.413534,0.137131,0.736842
uid260,260,73,73,38,0,0,48,25,0.657534,0.077004,0.666667
uid261,261,19,19,15,0,0,14,5,0.736842,0.020042,0.263158
uid262,262,54,54,31,0,0,27,27,0.500000,0.056962,0.543860
uid263,263,27,26,19,1,1,8,19,0.296296,0.027426,0.333333
uid264,264,69,69,36,0,0,22,47,0.318841,0.072785,0.631579
uid265,265,36,34,23,2,2,20,16,0.555556,0.035865,0.403509
uid266,266,72,72,33,0,0,48,24,0.666667,0.075949,0.578947
uid267,267,153,152,48,1,1,105,48,0.686275,0.160338,0.842105
uid268,268,167,166,45,1,1,87,80,0.520958,0.175105,0.789474
uid269,269,103,103,43,0,0,24,79,0.233010,0.108650,0.754386
uid270,270,46,43,34,3,3,21,25,0.456522,0.045359,0.596491
uid271,271,56,56,31,0,0,32,24,0.571429,0.059072,0.543860
uid272,272,123,122,40,1,1,76,47,0.617886,0.128692,0.701754
uid273,273,162,161,47,1,1,61,101,0.376543,0.169831,0.824561
uid274,274,85,84,39,1,1,28,57,0.329412,0.088608,0.684211
uid275,275,122,121,43,1,1,60,62,0.491803,0.127637,0.754386
uid276,276,83,82,36,1,1,38,45,0.457831,0.086498,0.631579
uid277,277,64,63,33,1,1,45,19,0.703125,0.066456,0.578947
uid278,278,60,59,31,1,1,32,28,0.533333,0.062236,0.543860
uid279,279,29,29,19,0,0,17,12,0.586207,0.030591,0.333333
uid280,280,181,179,46,2,2,30,151,0.165746,0.188819,0.807018
uid281,281,181,179,45,2,2,92,89,0.508287,0.188819,0.789474
uid282,282,19,17,15,2,2,3,16,0.157895,0.017932,0.263158
uid283,283,72,71,34,1,1,17,55,0.236111,0.074895,0.596491
uid284,284,170,168,50,2,2,100,70,0.588235,0.177215,0.877193
uid285,285,119,119,43,0,0,44,75,0.369748,0.125527,0.754386
uid286,286,85,85,36,0,0,70,15,0.823529,0.089662,0.631579
uid287,287,78,75,36,3,3,25,53,0.320513,0.079114,0.631579
uid288,288,25,25,19,0,0,15,10,0.600000,0.026371,0.333333
uid289,289,107,105,39,2,2,25,82,0.233645,0.110759,0.684211
uid290,290,61,59,31,2,2,35,26,0.573770,0.062236,0.543860
uid291,291,79,76,32,3,3,59,20,0.746835,0.080169,0.561404
uid292,292,58,58,33,0,0,42,16,0.724138,0.061181,0.578947
uid293,293,65,65,32,0,0,40,25,0.615385,0.068565,0.561404
uid294,294,129,129,45,0,0,79,50,0.612403,0.136076,0.789474
uid295,295,111,111,41,0,0,32,79,0.288288,0.117089,0.719298
uid296,296,141,135,50,6,6,67,74,0.475177,0.142405,0.877193
uid297,297,159,158,47,1,1,118,41,0.742138,0.166667,0.824561
uid298,298,99,99,42,0,0,48,51,0.484848,0.104430,0.736842
uid299,299,175,174,50,1,1,129,46,0.737143,0.183544,0.877193
uid300,300,132,130,42,2,2,49,83,0.371212,0.137131,0.736842
uid301,301,50,50,32,0,0,22,28,0.440000,0.052743,0.561404
uid302,302,53,53,30,0,0,28,25,0.528302,0.055907,0.526316
uid303,303,16,15,12,1,1,7,9,0.437500,0.015823,0.210526
uid304,304,103,102,40,1,1,21,82,0.203883,0.107595,0.701754
uid305,305,147,146,45,1,1,49,98,0.333333,0.154008,0.789474
uid306,306,113,112,38,1,1,57,56,0.504425,0.118143,0.666667
uid307,307,180,178,46,2,2,45,135,0.250000,0.187764,0.807018
uid308,308,171,170,47,1,1,171,0,1.000000,0.179325,0.824561
uid309,309,48,48,25,0,0,19,29,0.395833,0.050633,0.438596
uid310,310,164,164,48,0,0,52,112,0.317073,0.172996,0.842105
uid311,311,85,85,41,0,0,41,44,0.482353,0.089662,0.719298
uid312,312,152,145,52,7,7,81,71,0.532895,0.152954,0.912281
uid313,313,98,98,43,0,0,42,56,0.428571,0.103376,0.754386
uid314,314,26,26,20,0,0,14,12,0.538462,0.027426,0.350877
uid315,315,27,27,22,0,0,21,6,0.777778,0.028481,0.385965
uid316,316,147,146,46,1,1,78,69,0.530612,0.154008,0.807018
uid317,317,73,73,37,0,0,31,42,0.424658,0.077004,0.649123
uid318,318,135,135,43,0,0,126,9,0.933333,0.142405,0.754386
uid319,319,64,64,29,0,0,30,34,0.468750,0.067511,0.508772
uid320,320,163,159,46,4,4,106,57,0.650307,0.167722,0.807018
uid321,321,162,162,48,0,0,78,84,0.481481,0.170886,0.842105
uid322,322,173,169,45,4,4,51,122,0.294798,0.178270,0.789474
uid323,323,183,179,49,4,4,104,79,0.568306,0.188819,0.859649
uid324,324,12,12,11,0,0,6,6,0.500000,0.012658,0.192982
uid325,325,80,79,37,1,1,39,41,0.487500,0.083333,0.649123
uid326,326,178,176,45,2,2,148,30,0.831461,0.185654,0.789474
uid327,327,54,53,29,1,1,46,8,0.851852,0.055907,0.508772
uid328,328,166,164,47,2,2,93,73,0.560241,0.172996,0.824561
uid329,329,163,161,46,2,2,102,61,0.625767,0.169831,0.807018
uid330,330,69,69,36,0,0,18,51,0.260870,0.072785,0.631579
uid331,331,177,175,48,2,2,42,135,0.237288,0.184599,0.842105
uid332,332,79,78,36,1,1,39,40,0.493671,0.082278,0.631579
uid333,333,20,20,15,0,0,3,17,0.150000,0.021097,0.263158
uid334,334,58,58,33,0,0,45,13,0.775862,0.061181,0.578947
uid335,335,161,156,49,5,5,82,79,0.509317,0.164557,0.859649
uid336,336,137,135,45,2,2,40,97,0.291971,0.142405,0.789474
uid337,337,176,174,45,2,2,44,132,0.250000,0.183544,0.789474
uid338,338,198,198,49,0,0,97,101,0.489899,0.208861,0.859649
uid339,339,56,56,33,0,0,44,12,0.785714,0.059072,0.578947
uid340,340,14,14,13,0,0,2,12,0.142857,0.014768,0.228070
uid341,341,36,35,23,1,1,11,25,0.305556,0.036920,0.403509
uid342,342,68,67,34,1,1,68,0,1.000000,0.070675,0.596491
uid343,343,58,58,33,0,0,51,7,0.879310,0.061181,0.578947
uid344,344,58,58,35,0,0,52,6,0.896552,0.061181,0.614035
uid345,345,198,195,49,3,3,96,102,0.484848,0.205696,0.859649
uid346,346,145,142,41,3,3,96,49,0.662069,0.149789,0.719298
uid347,347,143,142,46,1,1,44,99,0.307692,0.149789,0.807018
uid348,348,39,38,25,1,1,11,28,0.282051,0.040084,0.438596
uid349,349,183,179,49,4,4,118,65,0.644809,0.188819,0.859649
uid350,350,69,68,34,1,1,63,6,0.913043,0.071730,0.596491
uid351,351,178,178,50,0,0,94,84,0.528090,0.187764,0.877193
uid352,352,161,160,46,1,1,78,83,0.484472,0.168776,0.807018
uid353,353,137,135,44,2,2,120,17,0.875912,0.142405,0.771930
uid354,354,179,178,48,1,1,40,139,0.223464,0.187764,0.842105
uid355,355,116,115,40,1,1,32,84,0.275862,0.121308,0.701754
uid356,356,67,67,37,0,0,57,10,0.850746,0.070675,0.649123
uid357,357,152,150,43,2,2,125,27,0.822368,0.158228,0.754386
uid358,358,168,164,49,4,4,111,57,0.660714,0.172996,0.859649
uid359,359,129,128,44,1,1,65,64,0.503876,0.135021,0.771930
uid360,360,170,170,47,0,0,57,113,0.335294,0.179325,0.824561
uid361,361,46,45,25,1,1,43,3,0.934783,0.047468,0.438596
uid362,362,161,156,46,5,5,124,37,0.770186,0.164557,0.807018
uid363,363,114,113,43,1,1,36,78,0.315789,0.119198,0.754386
uid364,364,184,178,49,6,6,94,90,0.510870,0.187764,0.859649
uid365,365,109,108,41,1,1,36,73,0.330275,0.113924,0.719298
uid366,366,158,156,44,2,2,85,73,0.537975,0.164557,0.771930
uid367,367,55,55,30,0,0,47,8,0.854545,0.058017,0.526316
uid368,368,32,29,23,3,3,26,6,0.812500,0.030591,0.403509
uid369,369,138,138,47,0,0,56,82,0.405797,0.145570,0.824561
uid370,370,99,96,43,3,3,54,45,0.545455,0.101266,0.754386
uid371,371,65,64,33,1,1,30,35,0.461538,0.067511,0.578947
uid372,372,192,190,48,2,2,65,127,0.338542,0.200422,0.842105
uid373,373,184,181,45,3,3,70,114,0.380435,0.190928,0.789474
uid374,374,18,18,14,0,0,6,12,0.333333,0.018987,0.245614
uid375,375,67,67,36,0,0,42,25,0.626866,0.070675,0.631579
uid376,376,194,192,47,2,2,56,138,0.288660,0.202532,0.824561
uid377,377,79,78,39,1,1,27,52,0.341772,0.082278,0.684211
uid378,378,163,161,47,2,2,54,109,0.331288,0.169831,0.824561
uid379,379,115,113,39,2,2,32,83,0.278261,0.119198,0.684211
uid380,380,104,104,43,0,0,66,38,0.634615,0.109705,0.754386
uid381,381,119,118,41,1,1,80,39,0.672269,0.124473,0.719298
uid382,382,132,131,45,1,1,55,77,0.416667,0.138186,0.789474
uid383,383,96,96,40,0,0,96,0,1.000000,0.101266,0.701754
uid384,384,63,63,36,0,0,48,15,0.761905,0.066456,0.631579
uid385,385,150,149,46,1,1,55,95,0.366667,0.157173,0.807018
uid386,386,178,177,47,1,1,144,34,0.808989,0.186709,0.824561
uid387,387,30,30,19,0,0,9,21,0.300000,0.031646,0.333333
uid388,388,97,95,41,2,2,51,46,0.525773,0.100211,0.719298
uid389,389,78,77,35,1,1,38,40,0.487179,0.081224,0.614035
uid390,390,44,43,23,1,1,9,35,0.204545,0.045359,0.403509
uid391,391,86,86,37,0,0,36,50,0.418605,0.090717,0.649123
uid392,392,146,145,46,1,1,114,32,0.780822,0.152954,0.807018
uid393,393,50,47,25,3,3,11,39,0.220000,0.049578,0.438596
uid394,394,89,87,36,2,2,24,65,0.269663,0.091772,0.631579
