concept_index,entity_id,raw_concept_id,name,definition_source,route
70,kc70,70,整数简易方程,llm:deepseek-chat,课内知识点----式与方程----简易方程（一元一次）----解简易方程----整数简易方程
71,kc71,71,整数系数方程,llm:deepseek-chat,拓展思维----计算模块----方程基础----一元一次方程----整数系数方程
72,kc72,72,列方程解应用题,llm:deepseek-chat,拓展思维----应用题模块----列方程解应用题
73,kc73,73,最短路线,llm:deepseek-chat,拓展思维----计数模块----标数法----标准标数法----最短路线
74,kc74,74,正方形周长,llm:deepseek-chat,拓展思维----几何模块----直线型----图形认知----正方形和长方形----正方形周长
75,kc75,75,不规则多边形的周长,llm:deepseek-chat,拓展思维----几何模块----直线型----图形认知----不规则多边形----不规则多边形的周长
76,kc76,76,数字组数（不可重复）,llm:deepseek-chat,拓展思维----计数模块----枚举法综合----字典排序法----组数----数字组数（不可重复）
77,kc77,77,用枚举法找出最值,llm:deepseek-chat,知识点----数学广角----搭配----用枚举法找出最值
78,kc78,78,卡片组数,llm:deepseek-chat,拓展思维----计数模块----枚举法综合----字典排序法----组数----卡片组数
79,kc79,79,图文加法竖式数字谜,llm:deepseek-chat,拓展思维----组合模块----数字谜----竖式数字谜----图文加法竖式数字谜
80,kc80,80,乘法竖式,llm:deepseek-chat,拓展思维----计算模块----整数----整数乘除----整数乘法运算----乘法竖式
81,kc81,81,除法竖式,llm:deepseek-chat,拓展思维----计算模块----整数----整数乘除----整数除法运算----除法竖式
82,kc82,82,先归一再归总,llm:deepseek-chat,拓展思维----应用题模块----归一归总问题----先归一再归总
83,kc83,83,直接求平均数,llm:deepseek-chat,拓展思维----应用题模块----平均数问题----公式类----直接求平均数
84,kc84,84,加权平均数,llm:deepseek-chat,拓展思维----应用题模块----平均数问题----公式类----加权平均数
85,kc85,85,平均数问题,llm:deepseek-chat,拓展思维----应用题模块----平均数问题
86,kc86,86,分数加减,llm:deepseek-chat,拓展思维----计算模块----分数----分数运算----分数加减
87,kc87,87,分数的性质,llm:deepseek-chat,拓展思维----计算模块----分数----分数基础----分数的性质
88,kc88,88,分数的意义,llm:deepseek-chat,拓展思维----计算模块----分数----分数基础----分数的意义
89,kc89,89,两端都不植树类型问题(段数小于等于10),llm:deepseek-chat,拓展思维----应用题模块----间隔问题----直线型两端都没有----两端不植树问题----两端都不植树类型问题(段数小于等于10)
90,kc90,90,爬楼梯问题,llm:deepseek-chat,拓展思维----应用题模块----间隔问题----直线型两端都有----爬楼梯问题
91,kc91,91,树形图,llm:deepseek-chat,拓展思维----计数模块----枚举法综合----树形图
92,kc92,92,图文周期,llm:deepseek-chat,拓展思维----组合模块----图形规律----图文周期
93,kc93,93,环形操作周期问题,llm:deepseek-chat,拓展思维----应用题模块----周期问题----环形操作周期问题
94,kc94,94,圆周中的周期,llm:deepseek-chat,拓展思维----组合模块----图形规律----圆周中的周期
95,kc95,95,数列找规律填数,llm:deepseek-chat,拓展思维----计算模块----数列与数表----数列规律----数列找规律填数
96,kc96,96,奇数与偶数的乘法规律,llm:deepseek-chat,拓展思维----数论模块----奇数与偶数----奇数与偶数的乘法规律
97,kc97,97,整数乘法巧算之分配律,llm:deepseek-chat,拓展思维----计算模块----整数----整数分配律----整数乘法巧算之分配律
98,kc98,98,整数除法巧算之类分配律,llm:deepseek-chat,拓展思维----计算模块----整数----整数分配律----整数除法巧算之类分配律
99,kc99,99,商不变性质,llm:deepseek-chat,课内知识点----数与运算----除法----整数除法----商不变性质
100,kc100,100,整数乘除法巧算,llm:deepseek-chat,拓展思维----计算模块----整数----整数乘除----整数乘除法巧算
101,kc101,101,公式法求长方形正方形面积,llm:deepseek-chat,课内题型----空间与图形----几何图形----四边形----公式法求长方形正方形面积
102,kc102,102,两量和倍,llm:deepseek-chat,拓展思维----应用题模块----和差倍问题----和倍问题----二量和倍问题----两量和倍
103,kc103,103,两量倍,llm:deepseek-chat,拓展思维----应用题模块----和差倍问题----倍的基本计算----两量倍
104,kc104,104,多量和倍,llm:deepseek-chat,拓展思维----应用题模块----和差倍问题----和倍问题----多量和倍问题----多量和倍
105,kc105,105,已知两量之间倍数关系和两量之和，求两个量,llm:deepseek-chat,课内题型----综合与实践----应用题----倍数问题----已知两量之间倍数关系和两量之和，求两个量
106,kc106,106,除法的实际应用,llm:deepseek-chat,课内知识点----数与运算----数的运算的实际应用（应用题）----整数的简单实际问题----除法的实际应用
107,kc107,107,已知两量之间倍数关系和一份量，求多份量,llm:deepseek-chat,课内题型----综合与实践----应用题----倍数问题----已知两量之间倍数关系和一份量，求多份量
108,kc108,108,变化的比多少应用题,llm:deepseek-chat,拓展思维----应用题模块----加减法应用----变化的比多少应用题
109,kc109,109,已知两量之间倍数关系和两量之差，求两个量,llm:deepseek-chat,课内题型----综合与实践----应用题----倍数问题----已知两量之间倍数关系和两量之差，求两个量
110,kc110,110,整数差倍,llm:deepseek-chat,拓展思维----应用题模块----和差倍问题----差倍----两量差倍----整数差倍
111,kc111,111,减法的实际应用,llm:deepseek-chat,课内知识点----数与运算----数的运算的实际应用（应用题）----整数的简单实际问题----减法的实际应用
112,kc112,112,暗差型二量差倍问题,llm:deepseek-chat,拓展思维----应用题模块----和差倍问题----差倍----两量差倍----暗差型二量差倍问题
113,kc113,113,区分大月和小月,llm:deepseek-chat,知识点----常见的量----年、月、日----认识年、月、日----区分大月和小月
114,kc114,114,计算星期几,llm:deepseek-chat,知识点----常见的量----年、月、日----日历表----计算星期几
115,kc115,115,奇数阶幻方填法,llm:deepseek-chat,拓展思维----组合模块----幻方----和幻方----奇数阶幻方填法
116,kc116,116,长方形数表中日期周期,llm:deepseek-chat,课内题型----综合与实践----智巧趣题----数表----长方形数表中日期周期
117,kc117,117,变形幻方,llm:deepseek-chat,拓展思维----组合模块----幻方----变形幻方
118,kc118,118,简单统计表,llm:deepseek-chat,知识点----计数模块----统计与概率----统计图表----简单统计表
119,kc119,119,从统计图表中获取信息,llm:deepseek-chat,知识点----数据的分析----统计结果分析----从统计图表中获取信息
120,kc120,120,一笔画判断,llm:deepseek-chat,拓展思维----组合模块----图论问题----一笔画----一笔画判断
121,kc121,121,一笔画的应用,llm:deepseek-chat,拓展思维----组合模块----图论问题----一笔画----一笔画的应用
122,kc122,122,不等变相等（无图）,llm:deepseek-chat,拓展思维----应用题模块----平均数问题----移多补少----不等变相等（无图）
123,kc123,123,标准六宫,llm:deepseek-chat,拓展思维----组合模块----数学游戏----数独----标准数独----标准六宫
124,kc124,124,角的认知,llm:deepseek-chat,拓展思维----几何模块----直线型----图形认知----图形认知角----角的认知
125,kc125,125,认识直角、锐角和钝角,llm:deepseek-chat,知识点----图形的认识----角----角的基础知识----认识直角、锐角和钝角
126,kc126,126,多位小数的写法,llm:deepseek-chat,知识点----数的认识----认、读、写数----小数----小数的意义----小数的读写----多位小数的写法
127,kc127,127,多位小数比较大小,llm:deepseek-chat,课内知识点----数的认识----比较大小----小数比较大小----多位小数比较大小
128,kc128,128,小数加减竖式计算,llm:deepseek-chat,拓展思维----计算模块----小数----小数加减----小数加减竖式计算
129,kc129,129,小数比大小,llm:deepseek-chat,拓展思维----计算模块----小数----小数基础----小数比大小
130,kc130,130,小数的计数单位（十分位、百分位、千分位）,llm:deepseek-chat,课内知识点----数的认识----认、读、写数----小数----小数的意义----小数的计数单位（十分位、百分位、千分位）
131,kc131,131,角度的计算,llm:deepseek-chat,拓展思维----几何模块----直线型----图形认知----图形认知角----角度的计算
132,kc132,132,正方形,llm:deepseek-chat,拓展思维----计数模块----几何计数----分类枚举法数图形----常规图形枚举计数----正方形
133,kc133,133,线段计数,llm:deepseek-chat,拓展思维----计数模块----几何计数----对应法数图形----乘法计数----线段计数
134,kc134,134,年龄问题基本关系和差问题,llm:deepseek-chat,拓展思维----应用题模块----年龄问题----年龄问题基本关系----年龄问题基本关系和差问题
135,kc135,135,分类枚举法数图形,llm:deepseek-chat,知识点----计数模块----几何计数----分类枚举法数图形
136,kc136,136,四则混合运算,llm:deepseek-chat,拓展思维----计算模块----整数----四则混合运算
137,kc137,137,添去括号,llm:deepseek-chat,拓展思维----计算模块----整数----整数加减----整数加减巧算之凑整法----添去括号
138,kc138,138,必填符号型,llm:deepseek-chat,拓展思维----组合模块----数字谜----巧填算符----等式填符号----必填符号型
139,kc139,139,24点游戏,llm:deepseek-chat,拓展思维----组合模块----数字谜----巧填算符----24点游戏
140,kc140,140,盈亏基本类型盈亏问题,llm:deepseek-chat,拓展思维----应用题模块----盈亏问题----盈亏基本类型----盈亏基本类型盈亏问题
141,kc141,141,特殊点或区域,llm:deepseek-chat,拓展思维----计数模块----标数法----特殊点或区域
142,kc142,142,盈亏问题,llm:deepseek-chat,拓展思维----应用题模块----盈亏问题
143,kc143,143,恰好分完,llm:deepseek-chat,拓展思维----应用题模块----盈亏问题----盈亏基本类型----恰好分完
144,kc144,144,亏亏问题,llm:deepseek-chat,拓展思维----应用题模块----盈亏问题----盈亏基本类型----亏亏问题
145,kc145,145,加法拆数（指定个数）,llm:deepseek-chat,拓展思维----计数模块----枚举法综合----整数分拆----简单拆分----加法拆数（指定个数）
146,kc146,146,加法拆数（应用）,llm:deepseek-chat,拓展思维----计数模块----枚举法综合----整数分拆----整数拆分应用----加法拆数（应用）
147,kc147,147,给定个数分东西,llm:deepseek-chat,课内题型----综合与实践----智巧趣题----枚举法----给定个数分东西
148,kc148,148,拆数数字可重复,llm:deepseek-chat,课内题型----综合与实践----智巧趣题----枚举法----拆数数字可重复
149,kc149,149,排列数,llm:deepseek-chat,知识点----数学广角----排列组合----排列数
150,kc150,150,无限制,llm:deepseek-chat,拓展思维----计数模块----排列组合----组合----插板法----无限制
151,kc151,151,加减法凑整综合,llm:deepseek-chat,拓展思维----计算模块----整数----整数加减----整数加减巧算之凑整法----加减法凑整综合
152,kc152,152,明和明差,llm:deepseek-chat,拓展思维----应用题模块----和差倍问题----和差问题----二量和差问题----明和明差
153,kc153,153,巧求周长,llm:deepseek-chat,拓展思维----几何模块----直线型----几何思想与方法----巧求周长
154,kc154,154,排队问题,llm:deepseek-chat,拓展思维----计数模块----加乘原理----排队问题
155,kc155,155,加法原理里的其他类型,llm:deepseek-chat,拓展思维----计数模块----加乘原理----加法原理----加法原理里的其他类型
156,kc156,156,简单的列方程解应用题,llm:deepseek-chat,课内知识点----式与方程----简易方程（一元一次）----简单的列方程解应用题
157,kc157,157,平行四边形面积公式,llm:deepseek-chat,课内知识点----测量----面积----平行四边形面积----平行四边形面积公式
158,kc158,158,认识平行四边形的底、高,llm:deepseek-chat,课内知识点----测量----面积----平行四边形面积----认识平行四边形的底、高
159,kc159,159,公式法求平行四边形面积,llm:deepseek-chat,课内题型----空间与图形----几何图形----四边形----公式法求平行四边形面积
160,kc160,160,上升数（下降数）,llm:deepseek-chat,拓展思维----计数模块----枚举法综合----字典排序法----组数----上升数（下降数）
161,kc161,161,加法拆数（不完全相同数）,llm:deepseek-chat,拓展思维----计数模块----枚举法综合----整数分拆----简单拆分----加法拆数（不完全相同数）
162,kc162,162,火柴棒摆数,llm:deepseek-chat,拓展思维----组合模块----智巧趣题----数学趣题----火柴棒问题----火柴棒摆数
163,kc163,163,火柴棒摆算式,llm:deepseek-chat,拓展思维----组合模块----智巧趣题----数学趣题----火柴棒问题----火柴棒摆算式
164,kc164,164,减法竖式谜,llm:deepseek-chat,拓展思维----组合模块----数字谜----竖式数字谜----减法竖式谜
165,kc165,165,加法竖式谜,llm:deepseek-chat,拓展思维----组合模块----数字谜----竖式数字谜----加法竖式谜
166,kc166,166,乘法交换律,llm:deepseek-chat,课内知识点----数与运算----运算律----乘法运算律----乘法交换律
167,kc167,167,乘法结合律,llm:deepseek-chat,课内知识点----数与运算----运算律----乘法运算律----乘法结合律
168,kc168,168,整数乘法运算,llm:deepseek-chat,拓展思维----计算模块----整数----整数乘除----整数乘法运算
169,kc169,169,整数四则混合运算,llm:deepseek-chat,课内知识点----数与运算----混合运算----整数四则混合运算
170,kc170,170,拆数法构造分配律,llm:deepseek-chat,拓展思维----计算模块----整数----整数分配律----整数乘法巧算之分配律----拆数法构造分配律
171,kc171,171,不等变不等（给完还多）,llm:deepseek-chat,拓展思维----应用题模块----平均数问题----移多补少----不等变不等（给完还多）
172,kc172,172,非整数倍差倍剩余,llm:deepseek-chat,拓展思维----应用题模块----和差倍问题----差倍----两量差倍----非整数倍差倍剩余
173,kc173,173,长方形,llm:deepseek-chat,拓展思维----计数模块----几何计数----分类枚举法数图形----常规图形枚举计数----长方形
174,kc174,174,综合型转化,llm:deepseek-chat,拓展思维----应用题模块----盈亏问题----盈亏转化题型----综合型转化
175,kc175,175,物品搭配（有特殊要求）,llm:deepseek-chat,知识点----计数模块----加乘原理----乘法原理----物品搭配（有特殊要求）
176,kc176,176,乘法原理,llm:deepseek-chat,拓展思维----计数模块----加乘原理----乘法原理
177,kc177,177,排列的基本应用,llm:deepseek-chat,拓展思维----计数模块----排列组合----排列----排列的基本应用
178,kc178,178,排列综合,llm:deepseek-chat,拓展思维----计数模块----排列组合----排列----排列综合
179,kc179,179,几何思想平移,llm:deepseek-chat,拓展思维----几何模块----直线型----几何思想与方法---- 几何思想平移
180,kc180,180,规则剪拼规则图形（无格）,llm:deepseek-chat,拓展思维----几何模块----直线型----几何思想与方法----分割与剪拼----规则剪拼规则图形（无格）
181,kc181,181,分割图形（不需等分）,llm:deepseek-chat,知识点----几何模块----直线型----几何思想与方法----分割与剪拼----分割图形（不需等分）
182,kc182,182,长方形正方形组合图形周长,llm:deepseek-chat,拓展思维----几何模块----直线型----图形认知----正方形和长方形----长方形正方形组合图形周长
183,kc183,183,图形剪拼,llm:deepseek-chat,拓展思维----几何模块----直线型----几何思想与方法----分割与剪拼----图形剪拼
184,kc184,184,特殊乘积,llm:deepseek-chat,知识点----计算模块----整数----整数乘除----整数乘除法巧算----特殊乘积
185,kc185,185,整数乘除混合运算,llm:deepseek-chat,拓展思维----计算模块----整数----整数乘除----整数乘除混合运算
186,kc186,186,普通型,llm:deepseek-chat,知识点----计算模块----定义新运算----直接运算型----普通型
187,kc187,187,找规律型定义新运算,llm:deepseek-chat,知识点----计算模块----定义新运算----观察规律型----找规律型定义新运算
188,kc188,188,高斯记号的基本运算,llm:deepseek-chat,知识点----数论模块----高斯记号----高斯记号的基本运算
189,kc189,189,等差数列求项数,llm:deepseek-chat,知识点----计算模块----数列与数表----等差数列----等差数列求项数
190,kc190,190,等差数列求公差,llm:deepseek-chat,知识点----计算模块----数列与数表----等差数列----等差数列求公差
191,kc191,191,等差数列实际应用,llm:deepseek-chat,知识点----应用题模块----等差数列实际应用
192,kc192,192,图形规律,llm:deepseek-chat,课内题型----综合与实践----智巧趣题----找规律----图形规律
193,kc193,193,等差数列,llm:deepseek-chat,拓展思维----计算模块----数列与数表----等差数列
194,kc194,194,其他染色,llm:deepseek-chat,拓展思维----组合模块----棋盘中的染色----其他染色
195,kc195,195,实心方阵基本问题,llm:deepseek-chat,知识点----应用题模块----方阵问题----实心方阵----实心方阵基本问题
196,kc196,196,方阵问题,llm:deepseek-chat,知识点----应用题模块----方阵问题
197,kc197,197,实心方阵的增减,llm:deepseek-chat,拓展思维----应用题模块----方阵问题----实心方阵----实心方阵的增减
198,kc198,198,空心方阵基本问题,llm:deepseek-chat,知识点----应用题模块----方阵问题----空心方阵----空心方阵基本问题
199,kc199,199,空心方阵的增减,llm:deepseek-chat,拓展思维----应用题模块----方阵问题----空心方阵----空心方阵的增减
200,kc200,200,单循环赛,llm:deepseek-chat,拓展思维----组合模块----逻辑推理----体育比赛----单循环赛
201,kc201,201,淘汰赛,llm:deepseek-chat,拓展思维----组合模块----逻辑推理----体育比赛----淘汰赛
202,kc202,202,2-1-0 积分制,llm:deepseek-chat,知识点----组合模块----逻辑推理----体育比赛----2-1-0 积分制
203,kc203,203,多量和差问题,llm:deepseek-chat,拓展思维----应用题模块----和差倍问题----和差问题----多量和差问题
204,kc204,204,实践应用,llm:deepseek-chat,七大能力----实践应用
205,kc205,205,除法中四量关系,llm:deepseek-chat,拓展思维----数论模块----余数问题----余数问题带余除法----除法中四量关系
206,kc206,206,和倍问题,llm:deepseek-chat,拓展思维----应用题模块----和差倍问题----和倍问题
207,kc207,207,知少求多,llm:deepseek-chat,拓展思维----应用题模块----和差倍问题----和倍问题----知少求多
208,kc208,208,多量差倍,llm:deepseek-chat,拓展思维----应用题模块----和差倍问题----差倍----多量差倍
209,kc209,209,还原问题,llm:deepseek-chat,知识点----应用题模块----还原问题
210,kc210,210,多量还原问题,llm:deepseek-chat,知识点----应用题模块----还原问题----多量还原问题
211,kc211,211,抄错数得出结果，求正确的,llm:deepseek-chat,课内题型----综合与实践----应用题----还原问题----抄错数得出结果，求正确的
212,kc212,212,数的周期,llm:deepseek-chat,拓展思维----应用题模块----周期问题----数列操作周期问题----数的周期
213,kc213,213,时间中的周期问题,llm:deepseek-chat,拓展思维----应用题模块----周期问题----时间中的周期问题
214,kc214,214,奇数与偶数的认识,llm:deepseek-chat,拓展思维----数论模块----奇数与偶数----奇数与偶数的认识
215,kc215,215,归总问题,llm:deepseek-chat,拓展思维----应用题模块----归一归总问题----归总问题
216,kc216,216,腿倍型,llm:deepseek-chat,拓展思维----应用题模块----鸡兔同笼问题----分组法解鸡兔同笼----腿倍型
217,kc217,217,用分组法解决基础鸡兔同笼,llm:deepseek-chat,课内题型----综合与实践----应用题----鸡兔同笼问题----用分组法解决基础鸡兔同笼
218,kc218,218,不同时出发相向而行,llm:deepseek-chat,拓展思维----行程模块----直线型行程问题----两人相遇与追及问题----相遇问题----不同时出发相向而行
219,kc219,219,公式法,llm:deepseek-chat,拓展思维----行程模块----直线型行程问题----路程速度时间----平均速度----公式法
220,kc220,220,公式法求相遇时间,llm:deepseek-chat,课内题型----综合与实践----应用题----行程应用题----公式法求相遇时间
221,kc221,221,单人变速问题,llm:deepseek-chat,拓展思维----行程模块----直线型行程问题----路程速度时间----单人变速问题
222,kc222,222,同时同地出发折返相遇,llm:deepseek-chat,拓展思维----行程模块----直线型行程问题----两人相遇与追及问题----相遇问题----同时同地出发折返相遇
223,kc223,223,不同时出发,llm:deepseek-chat,拓展思维----行程模块----直线型行程问题----两人相遇与追及问题----追及问题----不同时出发
224,kc224,224,两人相遇与追及问题,llm:deepseek-chat,知识点----行程模块----直线型行程问题----两人相遇与追及问题
225,kc225,225,和系整除特征,llm:deepseek-chat,拓展思维----数论模块----整除----整除特征----和系整除特征
226,kc226,226,除法竖式谜,llm:deepseek-chat,拓展思维----组合模块----数字谜----竖式数字谜----除法竖式谜
227,kc227,227,多位数的乘法运算,llm:deepseek-chat,拓展思维----计算模块----整数----多位数计算----多位数的乘法运算
228,kc228,228,整数拆补凑整,llm:deepseek-chat,拓展思维----计算模块----整数----整数加减----整数加减巧算之凑整法----整数拆补凑整
229,kc229,229,位置关系,llm:deepseek-chat,拓展思维----计算模块----数列与数表----数表规律----长方形数表----位置关系
230,kc230,230,连续自然数长方形数表之已知数求位置,llm:deepseek-chat,拓展思维----计算模块----数列与数表----数表规律----长方形数表----连续自然数长方形数表之已知数求位置
231,kc231,231,简单时间统筹问题,llm:deepseek-chat,拓展思维----组合模块----操作与策略----统筹规划----简单时间统筹问题
232,kc232,232,各点不等价,llm:deepseek-chat,拓展思维----组合模块----操作与策略----统筹规划----地点上的统筹----各点不等价
233,kc233,233,火车过人,llm:deepseek-chat,拓展思维----行程模块----火车问题----火车与人----火车过人
