uid,entity_id,original_uid,previous_uid,split
136,uid136,223,223,train
137,uid137,224,224,test
138,uid138,225,225,train
139,uid139,226,226,test
140,uid140,227,227,train
141,uid141,228,228,train
142,uid142,231,231,train
143,uid143,232,232,train
144,uid144,234,234,train
145,uid145,235,235,train
146,uid146,236,236,train
147,uid147,237,237,train
148,uid148,238,238,test
149,uid149,240,240,train
150,uid150,241,241,train
151,uid151,242,242,test
152,uid152,244,244,test
153,uid153,245,245,test
154,uid154,246,246,train
155,uid155,247,247,test
156,uid156,249,249,test
157,uid157,253,253,train
158,uid158,258,258,test
159,uid159,261,261,train
160,uid160,262,262,train
161,uid161,263,263,train
162,uid162,264,264,test
163,uid163,265,265,train
164,uid164,268,268,test
165,uid165,269,269,train
166,uid166,270,270,train
167,uid167,271,271,test
168,uid168,273,273,train
169,uid169,275,275,train
170,uid170,277,277,test
171,uid171,278,278,train
172,uid172,282,282,test
173,uid173,283,283,train
174,uid174,285,285,train
175,uid175,286,286,train
176,uid176,288,288,test
177,uid177,291,291,test
178,uid178,292,292,train
179,uid179,294,294,train
180,uid180,295,295,train
181,uid181,298,298,train
182,uid182,299,299,test
183,uid183,302,302,train
184,uid184,303,303,train
185,uid185,305,305,train
186,uid186,306,306,test
187,uid187,307,307,train
188,uid188,308,308,train
189,uid189,309,309,train
190,uid190,311,311,train
191,uid191,313,313,train
192,uid192,314,314,train
193,uid193,315,315,test
194,uid194,316,316,test
195,uid195,318,318,train
196,uid196,319,319,train
197,uid197,321,321,test
198,uid198,323,323,train
199,uid199,324,324,train
200,uid200,325,325,train
201,uid201,326,326,train
202,uid202,327,327,test
203,uid203,330,330,test
204,uid204,333,333,train
205,uid205,334,334,train
206,uid206,336,336,train
207,uid207,337,337,train
208,uid208,338,338,train
209,uid209,339,339,train
210,uid210,342,342,train
211,uid211,345,345,train
212,uid212,346,346,train
213,uid213,347,347,train
214,uid214,348,348,train
215,uid215,350,350,test
216,uid216,351,351,train
217,uid217,352,352,train
218,uid218,356,356,train
219,uid219,357,357,test
220,uid220,358,358,train
221,uid221,360,360,train
222,uid222,362,362,test
223,uid223,363,363,train
224,uid224,364,364,train
225,uid225,365,365,train
226,uid226,367,367,train
227,uid227,369,369,train
228,uid228,370,370,train
229,uid229,371,371,train
230,uid230,372,372,train
231,uid231,374,374,test
232,uid232,375,375,train
233,uid233,376,376,train
234,uid234,377,377,train
235,uid235,378,378,train
236,uid236,379,379,test
237,uid237,380,380,test
238,uid238,381,381,train
239,uid239,382,382,train
240,uid240,384,384,train
241,uid241,385,385,train
242,uid242,386,386,test
243,uid243,387,387,train
244,uid244,388,388,train
245,uid245,389,389,train
246,uid246,391,391,train
247,uid247,394,394,train
248,uid248,395,395,train
249,uid249,397,397,train
250,uid250,399,399,train
251,uid251,400,400,test
252,uid252,401,401,train
253,uid253,405,405,train
254,uid254,406,406,train
255,uid255,410,410,train
256,uid256,411,411,train
257,uid257,412,412,train
258,uid258,416,416,train
259,uid259,417,417,train
260,uid260,418,418,train
261,uid261,420,420,train
262,uid262,421,421,train
263,uid263,422,422,train
264,uid264,423,423,test
265,uid265,424,424,train
266,uid266,426,426,train
267,uid267,427,427,train
268,uid268,428,428,train
269,uid269,429,429,train
270,uid270,430,430,test
271,uid271,431,431,train
272,uid272,432,432,train
273,uid273,434,434,train
274,uid274,435,435,train
275,uid275,436,436,train
276,uid276,437,437,train
277,uid277,438,438,test
278,uid278,439,439,test
279,uid279,441,441,test
280,uid280,442,442,train
281,uid281,443,443,test
282,uid282,444,444,train
283,uid283,445,445,train
284,uid284,446,446,train
285,uid285,447,447,test
286,uid286,448,448,train
287,uid287,449,449,train
288,uid288,450,450,train
289,uid289,451,451,train
290,uid290,452,452,train
291,uid291,453,453,train
292,uid292,454,454,train
293,uid293,455,455,train
294,uid294,456,456,test
295,uid295,457,457,test
296,uid296,458,458,train
297,uid297,460,460,train
298,uid298,462,462,train
299,uid299,463,463,train
300,uid300,464,464,train
301,uid301,466,466,train
302,uid302,467,467,train
303,uid303,468,468,test
304,uid304,469,469,train
305,uid305,470,470,train
306,uid306,471,471,train
307,uid307,472,472,train
308,uid308,473,473,test
309,uid309,474,474,train
310,uid310,475,475,train
311,uid311,476,476,train
312,uid312,477,477,test
313,uid313,478,478,train
314,uid314,479,479,train
315,uid315,480,480,train
316,uid316,481,481,test
317,uid317,482,482,train
318,uid318,483,483,train
319,uid319,485,485,train
320,uid320,486,486,train
321,uid321,487,487,train
322,uid322,488,488,train
323,uid323,489,489,train
324,uid324,490,490,train
325,uid325,491,491,test
326,uid326,492,492,train
327,uid327,493,493,train
328,uid328,494,494,train
329,uid329,495,495,train
330,uid330,496,496,train
331,uid331,497,497,train
332,uid332,501,501,train
333,uid333,502,502,train
334,uid334,503,503,train
335,uid335,504,504,train
336,uid336,506,506,train
337,uid337,507,507,test
338,uid338,508,508,train
339,uid339,509,509,train
340,uid340,510,510,train
341,uid341,511,511,train
342,uid342,512,512,train
343,uid343,513,513,train
344,uid344,514,514,test
345,uid345,516,516,train
346,uid346,517,517,train
347,uid347,519,519,train
348,uid348,520,520,train
349,uid349,522,522,train
350,uid350,523,523,train
351,uid351,524,524,test
352,uid352,525,525,train
353,uid353,526,526,test
354,uid354,527,527,train
355,uid355,528,528,train
356,uid356,529,529,test
357,uid357,530,530,test
358,uid358,531,531,train
359,uid359,532,532,test
360,uid360,534,534,test
361,uid361,535,535,train
362,uid362,537,537,train
363,uid363,538,538,train
364,uid364,539,539,test
365,uid365,540,540,test
366,uid366,541,541,train
367,uid367,542,542,train
368,uid368,544,544,train
369,uid369,545,545,test
370,uid370,546,546,train
371,uid371,547,547,train
372,uid372,548,548,train
373,uid373,549,549,test
374,uid374,550,550,test
375,uid375,551,551,train
376,uid376,552,552,train
377,uid377,553,553,train
378,uid378,554,554,train
379,uid379,555,555,train
380,uid380,556,556,train
381,uid381,557,557,train
382,uid382,558,558,test
383,uid383,559,559,train
384,uid384,560,560,test
385,uid385,561,561,train
386,uid386,563,563,train
387,uid387,564,564,train
388,uid388,565,565,train
389,uid389,566,566,test
390,uid390,568,568,train
391,uid391,569,569,train
392,uid392,570,570,train
393,uid393,571,571,train
394,uid394,572,572,train
395,uid395,573,573,train
396,uid396,574,574,test
397,uid397,577,577,train
398,uid398,578,578,train
399,uid399,580,580,train
400,uid400,581,581,train
401,uid401,583,583,train
402,uid402,584,584,train
403,uid403,585,585,train
404,uid404,586,586,train
405,uid405,587,587,train
406,uid406,588,588,test
407,uid407,589,589,test
408,uid408,590,590,train
409,uid409,591,591,train
410,uid410,592,592,train
411,uid411,593,593,test
412,uid412,594,594,test
413,uid413,595,595,test
414,uid414,596,596,test
415,uid415,597,597,test
416,uid416,598,598,test
417,uid417,600,600,train
418,uid418,602,602,test
419,uid419,603,603,test
420,uid420,604,604,train
421,uid421,605,605,train
422,uid422,606,606,train
423,uid423,607,607,train
424,uid424,608,608,test
425,uid425,609,609,train
426,uid426,610,610,train
427,uid427,611,611,train
428,uid428,612,612,train
429,uid429,613,613,train
430,uid430,614,614,train
431,uid431,615,615,train
432,uid432,616,616,train
433,uid433,618,618,test
434,uid434,619,619,train
435,uid435,620,620,train
436,uid436,621,621,test
437,uid437,622,622,train
438,uid438,623,623,train
439,uid439,624,624,test
440,uid440,625,625,train
441,uid441,626,626,test
442,uid442,627,627,train
443,uid443,628,628,train
444,uid444,629,629,train
445,uid445,630,630,test
446,uid446,631,631,train
447,uid447,633,633,train
448,uid448,634,634,test
449,uid449,635,635,train
450,uid450,636,636,train
451,uid451,638,638,train
452,uid452,639,639,train
453,uid453,641,641,test
454,uid454,643,643,test
455,uid455,644,644,test
456,uid456,645,645,test
457,uid457,646,646,train
458,uid458,648,648,test
459,uid459,649,649,train
460,uid460,650,650,train
461,uid461,651,651,train
462,uid462,652,652,train
463,uid463,653,653,test
464,uid464,654,654,test
465,uid465,656,656,train
466,uid466,657,657,train
467,uid467,658,658,train
468,uid468,659,659,train
469,uid469,660,660,train
470,uid470,661,661,train
471,uid471,662,662,train
472,uid472,663,663,train
473,uid473,664,664,train
474,uid474,665,665,train
475,uid475,667,667,test
476,uid476,669,669,train
477,uid477,670,670,train
478,uid478,671,671,test
479,uid479,672,672,train
480,uid480,675,675,train
481,uid481,676,676,test
482,uid482,677,677,train
483,uid483,678,678,train
484,uid484,679,679,train
485,uid485,680,680,train
486,uid486,681,681,train
487,uid487,682,682,train
488,uid488,683,683,train
489,uid489,685,685,train
490,uid490,686,686,train
491,uid491,687,687,train
492,uid492,688,688,test
493,uid493,690,690,train
494,uid494,691,691,train
495,uid495,693,693,train
496,uid496,694,694,train
497,uid497,695,695,train
498,uid498,696,696,train
499,uid499,697,697,test
500,uid500,698,698,train
501,uid501,699,699,train
502,uid502,701,701,test
503,uid503,702,702,train
504,uid504,703,703,train
505,uid505,704,704,test
506,uid506,705,705,train
507,uid507,706,706,train
508,uid508,707,707,train
509,uid509,708,708,train
510,uid510,709,709,train
511,uid511,710,710,test
512,uid512,711,711,train
513,uid513,712,712,test
514,uid514,713,713,train
515,uid515,714,714,train
516,uid516,715,715,train
517,uid517,716,716,train
518,uid518,717,717,test
519,uid519,718,718,train
520,uid520,719,719,train
521,uid521,720,720,test
522,uid522,721,721,train
523,uid523,722,722,train
524,uid524,723,723,test
525,uid525,724,724,train
526,uid526,725,725,test
527,uid527,728,728,train
528,uid528,729,729,test
529,uid529,731,731,test
530,uid530,733,733,train
531,uid531,734,734,train
532,uid532,735,735,train
533,uid533,736,736,train
534,uid534,737,737,test
535,uid535,738,738,train
536,uid536,739,739,train
537,uid537,740,740,train
538,uid538,741,741,train
539,uid539,742,742,train
540,uid540,743,743,train
541,uid541,744,744,test
542,uid542,745,745,train
543,uid543,746,746,train
544,uid544,747,747,train
545,uid545,748,748,train
546,uid546,749,749,train
547,uid547,750,750,train
548,uid548,751,751,train
549,uid549,752,752,train
550,uid550,753,753,train
551,uid551,754,754,train
552,uid552,755,755,test
553,uid553,756,756,train
554,uid554,757,757,train
555,uid555,759,759,train
556,uid556,760,760,train
557,uid557,761,761,train
558,uid558,763,763,train
559,uid559,764,764,train
560,uid560,765,765,train
561,uid561,766,766,test
562,uid562,767,767,train
563,uid563,768,768,train
564,uid564,769,769,train
565,uid565,770,770,test
566,uid566,771,771,train
567,uid567,772,772,train
568,uid568,773,773,train
569,uid569,774,774,train
570,uid570,775,775,train
571,uid571,776,776,train
572,uid572,777,777,train
573,uid573,778,778,train
574,uid574,779,779,train
575,uid575,780,780,train
576,uid576,781,781,train
577,uid577,786,786,train
578,uid578,788,788,train
579,uid579,789,789,train
580,uid580,790,790,train
581,uid581,791,791,train
582,uid582,794,794,train
583,uid583,795,795,train
584,uid584,796,796,test
585,uid585,797,797,test
586,uid586,798,798,test
587,uid587,800,800,train
588,uid588,801,801,train
589,uid589,802,802,train
590,uid590,803,803,train
591,uid591,805,805,train
592,uid592,806,806,train
593,uid593,809,809,train
594,uid594,810,810,train
595,uid595,811,811,train
596,uid596,813,813,test
597,uid597,815,815,test
598,uid598,816,816,test
599,uid599,818,818,train
600,uid600,819,819,train
601,uid601,820,820,train
602,uid602,821,821,train
603,uid603,822,822,train
604,uid604,823,823,test
605,uid605,824,824,train
606,uid606,825,825,train
607,uid607,826,826,train
608,uid608,827,827,test
609,uid609,828,828,train
610,uid610,829,829,train
611,uid611,830,830,train
612,uid612,831,831,train
613,uid613,832,832,train
614,uid614,833,833,train
615,uid615,836,836,train
616,uid616,839,839,train
617,uid617,840,840,train
618,uid618,842,842,test
619,uid619,843,843,test
620,uid620,844,844,train
621,uid621,845,845,train
622,uid622,846,846,train
623,uid623,847,847,train
624,uid624,848,848,test
625,uid625,849,849,train
626,uid626,850,850,train
627,uid627,852,852,train
628,uid628,853,853,test
629,uid629,854,854,train
630,uid630,856,856,train
631,uid631,857,857,train
632,uid632,858,858,train
633,uid633,859,859,train
634,uid634,862,862,train
635,uid635,863,863,train
636,uid636,864,864,test
637,uid637,865,865,train
638,uid638,866,866,train
639,uid639,867,867,train
640,uid640,868,868,train
641,uid641,869,869,test
642,uid642,871,871,test
643,uid643,872,872,test
644,uid644,873,873,train
645,uid645,876,876,train
646,uid646,877,877,train
647,uid647,880,880,train
648,uid648,881,881,train
649,uid649,883,883,train
650,uid650,884,884,train
651,uid651,885,885,train
652,uid652,886,886,test
653,uid653,887,887,train
654,uid654,890,890,train
655,uid655,891,891,train
656,uid656,892,892,train
657,uid657,894,894,test
658,uid658,895,895,train
659,uid659,896,896,train
660,uid660,897,897,test
661,uid661,898,898,train
662,uid662,899,899,train
663,uid663,901,901,train
664,uid664,902,902,train
665,uid665,905,905,train
666,uid666,906,906,train
667,uid667,907,907,train
668,uid668,909,909,train
669,uid669,910,910,test
670,uid670,912,912,train
671,uid671,914,914,train
672,uid672,917,917,train
673,uid673,918,918,train
674,uid674,920,920,test
675,uid675,922,922,train
676,uid676,923,923,train
677,uid677,924,924,test
678,uid678,925,925,test
679,uid679,930,930,test
680,uid680,931,931,train
681,uid681,932,932,train
682,uid682,933,933,test
683,uid683,935,935,test
684,uid684,936,936,test
685,uid685,937,937,test
686,uid686,938,938,test
687,uid687,939,939,test
688,uid688,940,940,train
689,uid689,941,941,train
690,uid690,943,943,train
691,uid691,944,944,test
692,uid692,947,947,test
693,uid693,948,948,train
694,uid694,949,949,train
695,uid695,950,950,test
696,uid696,951,951,train
697,uid697,952,952,train
698,uid698,953,953,train
699,uid699,955,955,test
700,uid700,957,957,test
701,uid701,962,962,test
702,uid702,963,963,train
703,uid703,966,966,train
704,uid704,967,967,train
705,uid705,968,968,test
706,uid706,970,970,train
707,uid707,971,971,train
708,uid708,972,972,train
709,uid709,973,973,train
710,uid710,975,975,train
711,uid711,978,978,train
712,uid712,980,980,test
713,uid713,981,981,test
714,uid714,983,983,train
715,uid715,985,985,train
716,uid716,987,987,test
717,uid717,989,989,train
718,uid718,990,990,test
719,uid719,992,992,train
720,uid720,994,994,test
721,uid721,995,995,train
722,uid722,996,996,train
723,uid723,998,998,train
724,uid724,1000,1000,train
725,uid725,1001,1001,train
726,uid726,1002,1002,test
727,uid727,1004,1004,test
728,uid728,1005,1005,test
729,uid729,1006,1006,train
730,uid730,1007,1007,test
731,uid731,1008,1008,train
732,uid732,1009,1009,train
733,uid733,1010,1010,train
734,uid734,1011,1011,train
735,uid735,1012,1012,train
736,uid736,1013,1013,train
737,uid737,1017,1017,train
738,uid738,1019,1019,test
739,uid739,1020,1020,test
740,uid740,1022,1022,train
741,uid741,1023,1023,train
742,uid742,1024,1024,train
743,uid743,1028,1028,train
744,uid744,1031,1031,train
745,uid745,1032,1032,train
746,uid746,1033,1033,test
747,uid747,1034,1034,train
748,uid748,1037,1037,test
749,uid749,1040,1040,train
750,uid750,1044,1044,train
751,uid751,1045,1045,test
752,uid752,1046,1046,train
753,uid753,1048,1048,test
754,uid754,1049,1049,train
755,uid755,1055,1055,test
756,uid756,1056,1056,train
757,uid757,1057,1057,train
758,uid758,1058,1058,test
759,uid759,1062,1062,train
760,uid760,1066,1066,train
761,uid761,1074,1074,test
762,uid762,1077,1077,train
763,uid763,1081,1081,train
764,uid764,1082,1082,train
765,uid765,1086,1086,test
766,uid766,1088,1088,train
767,uid767,1090,1090,train
768,uid768,1091,1091,test
769,uid769,1095,1095,train
770,uid770,1098,1098,train
771,uid771,1099,1099,train
772,uid772,1100,1100,train
773,uid773,1101,1101,test
774,uid774,1104,1104,train
775,uid775,1109,1109,test
776,uid776,1111,1111,test
777,uid777,1113,1113,train
778,uid778,1115,1115,test
779,uid779,1117,1117,test
780,uid780,1121,1121,test
781,uid781,1122,1122,test
782,uid782,1123,1123,train
783,uid783,1125,1125,train
784,uid784,1126,1126,train
785,uid785,1127,1127,test
786,uid786,1129,1129,train
787,uid787,1134,1134,train
788,uid788,1136,1136,train
789,uid789,1140,1140,train
790,uid790,1143,1143,train
791,uid791,1144,1144,train
792,uid792,1147,1147,train
793,uid793,1149,1149,train
794,uid794,1150,1150,train
795,uid795,1151,1151,train
796,uid796,1152,1152,train
797,uid797,1153,1153,train
798,uid798,1155,1155,test
799,uid799,1156,1156,train
800,uid800,1159,1159,train
801,uid801,1166,1166,train
802,uid802,1168,1168,train
803,uid803,1169,1169,train
804,uid804,1170,1170,test
805,uid805,1175,1175,train
806,uid806,1176,1176,test
807,uid807,1177,1177,train
808,uid808,1179,1179,train
809,uid809,1180,1180,train
810,uid810,1181,1181,train
811,uid811,1183,1183,train
812,uid812,1184,1184,train
813,uid813,1185,1185,train
814,uid814,1186,1186,train
815,uid815,1187,1187,train
816,uid816,1188,1188,train
817,uid817,1189,1189,test
818,uid818,1190,1190,train
819,uid819,1194,1194,test
820,uid820,1196,1196,train
821,uid821,1198,1198,train
822,uid822,1199,1199,test
823,uid823,1201,1201,test
824,uid824,1202,1202,train
825,uid825,1204,1204,test
826,uid826,1205,1205,train
827,uid827,1209,1209,train
828,uid828,1210,1210,test
829,uid829,1211,1211,test
830,uid830,1212,1212,train
831,uid831,1213,1213,train
832,uid832,1215,1215,train
833,uid833,1217,1217,test
834,uid834,1219,1219,train
835,uid835,1220,1220,train
836,uid836,1221,1221,train
837,uid837,1224,1224,test
838,uid838,1226,1226,train
839,uid839,1227,1227,train
840,uid840,1228,1228,train
841,uid841,1229,1229,test
842,uid842,1230,1230,test
843,uid843,1231,1231,train
844,uid844,1232,1232,train
845,uid845,1233,1233,train
846,uid846,1234,1234,train
847,uid847,1235,1235,train
848,uid848,1236,1236,train
849,uid849,1238,1238,test
850,uid850,1239,1239,train
851,uid851,1240,1240,train
852,uid852,1241,1241,test
853,uid853,1243,1243,train
854,uid854,1244,1244,train
855,uid855,1245,1245,train
856,uid856,1246,1246,train
857,uid857,1247,1247,train
858,uid858,1249,1249,train
859,uid859,1251,1251,train
860,uid860,1255,1255,train
861,uid861,1257,1257,test
862,uid862,1259,1259,train
863,uid863,1260,1260,train
864,uid864,1261,1261,train
865,uid865,1262,1262,train
866,uid866,1263,1263,train
867,uid867,1264,1264,test
868,uid868,1267,1267,train
869,uid869,1268,1268,train
870,uid870,1269,1269,train
871,uid871,1270,1270,train
872,uid872,1273,1273,train
873,uid873,1274,1274,test
874,uid874,1277,1277,train
875,uid875,1279,1279,test
876,uid876,1280,1280,train
877,uid877,1281,1281,train
878,uid878,1282,1282,train
879,uid879,1283,1283,test
880,uid880,1284,1284,train
881,uid881,1285,1285,train
882,uid882,1286,1286,train
883,uid883,1287,1287,train
884,uid884,1288,1288,train
885,uid885,1289,1289,train
886,uid886,1290,1290,train
887,uid887,1291,1291,train
888,uid888,1292,1292,train
889,uid889,1293,1293,train
890,uid890,1294,1294,train
891,uid891,1295,1295,train
892,uid892,1296,1296,train
893,uid893,1297,1297,train
894,uid894,1300,1300,test
895,uid895,1301,1301,train
896,uid896,1302,1302,train
897,uid897,1303,1303,test
898,uid898,1304,1304,train
899,uid899,1305,1305,train
900,uid900,1306,1306,test
901,uid901,1307,1307,train
902,uid902,1308,1308,train
903,uid903,1309,1309,test
904,uid904,1310,1310,train
905,uid905,1311,1311,train
906,uid906,1312,1312,train
907,uid907,1314,1314,train
908,uid908,1315,1315,train
909,uid909,1316,1316,train
910,uid910,1317,1317,test
911,uid911,1318,1318,train
912,uid912,1319,1319,train
913,uid913,1320,1320,test
914,uid914,1322,1322,train
915,uid915,1323,1323,test
916,uid916,1324,1324,train
917,uid917,1325,1325,test
918,uid918,1326,1326,train
919,uid919,1327,1327,test
920,uid920,1328,1328,train
921,uid921,1329,1329,train
922,uid922,1331,1331,test
923,uid923,1332,1332,test
924,uid924,1333,1333,train
925,uid925,1335,1335,train
926,uid926,1337,1337,train
927,uid927,1338,1338,train
928,uid928,1340,1340,train
929,uid929,1341,1341,train
930,uid930,1342,1342,train
931,uid931,1343,1343,train
932,uid932,1345,1345,train
933,uid933,1346,1346,train
934,uid934,1349,1349,test
935,uid935,1350,1350,train
936,uid936,1351,1351,train
937,uid937,1352,1352,train
938,uid938,1353,1353,train
939,uid939,1354,1354,train
940,uid940,1356,1356,train
941,uid941,1358,1358,test
942,uid942,1359,1359,train
943,uid943,1360,1360,train
944,uid944,1361,1361,test
945,uid945,1362,1362,train
946,uid946,1363,1363,train
947,uid947,1364,1364,train
948,uid948,1365,1365,train
949,uid949,1367,1367,test
950,uid950,1368,1368,train
951,uid951,1369,1369,train
952,uid952,1372,1372,train
953,uid953,1373,1373,train
954,uid954,1374,1374,train
955,uid955,1375,1375,train
956,uid956,1377,1377,test
957,uid957,1379,1379,test
958,uid958,1381,1381,train
959,uid959,1382,1382,train
960,uid960,1383,1383,train
961,uid961,1384,1384,train
962,uid962,1385,1385,test
963,uid963,1386,1386,train
964,uid964,1387,1387,train
965,uid965,1388,1388,train
966,uid966,1389,1389,train
967,uid967,1390,1390,train
